Grand Lux Cafe,600 N Michigan Ave,Chicago,IL,60611,"Diner, American",grandluxcafe
Rosangelas,2807 W 95th St,Evergreen Park,IL,60805,"Deli Food, American",rosangelas
Barney's Pizza,5648 W Chicago Ave,Chicago,IL,60651,"Italian, Pizza",barney'spizza
"Joe's Seafood, Prime Steak & Stone Crab",60 E Grand Ave ,Chicago,IL,60611,Seafood,"joe'sseafood,primesteak&stonecrab"
Portillo's Hot Dogs,100 W Ontario St,Chicago,IL,60610,"Italian, Deli Food, Pizza",portillo'shotdogs
Wildfire,159 W Erie St,Chicago,IL,60610,American,wildfire
Naty's Pizza,5129 S Kedzie Ave,Chicago,IL,60632,"Deli Food, Pizza, Sandwiches",naty'spizza
Chi Tung Chinese & Thai Restaurant,9560 S Kedzie Ave,Evergreen Park,IL,60805,"Chinese, Thai, Asian",chitungchinese&thairestaurant
Yen's,2856 N Clark St,Chicago,IL,60657,Chinese,yen's
De Arco's Pizza & Restaurant,2819 W 63rd St,Chicago,IL,60629,"Italian, Pizza",dearco'spizza&restaurant
Barraco's Pizza,3701 W 95th St,Evergreen Park,IL,60805,"Italian, Ice Cream, Pizza",barraco'spizza
Eleven City Diner,1112 S Wabash Ave,Chicago,IL,60605,"Diner, Deli Food, American",elevencitydiner
China Fast Wok,2020 N California Ave,Chicago,IL,60647,Chinese,chinafastwok
Cochiaro's Pizza,3553 N Central Ave,Chicago,IL,60634,"Italian, Pizza, Sandwiches",cochiaro'spizza
Kenny's Ribs & Chicken,8601 S Stony Island Ave,Chicago,IL,60617,"Southern, American",kenny'sribs&chicken
Phil's Pizza,1102 W 35th St,Chicago,IL,60609,"Pizza, American",phil'spizza
Obbie's Pizza,6654 W Archer Ave,Chicago,IL,60638,"Deli Food, American",obbie'spizza
Ma Ma Luna's Restaurant & Pizzeria,5109 W Fullerton Ave,Chicago,IL,60639,Italian,mamaluna'srestaurant&pizzeria
Sharks Fish & Chicken,2139 S State St,Chicago,IL,60616,"Seafood, Wings, Chicken",sharksfish&chicken
Just A Pizza,5136 S Archer Ave,Chicago,IL,60632,"Deli Food, Pizza, Sandwiches",justapizza
Gino's East,633 N Wells St,Chicago,IL,60610,"Pizza, Pasta",gino'seast
Wing Hoe,5356 North Sheridan Road,Chicago,IL,60640,Chinese,winghoe
Danny's Pizza Place,6021 S Archer Ave,Chicago,IL,60638,"Deli Food, American",danny'spizzaplace
Taqueria Diversey,5649 W Diversey Ave,Chicago,IL,60639,Mexican,taqueriadiversey
Jamaica Jerk Villa,8 E Cermak Rd,Chicago,IL,60611,"Jamaican, Seafood, Chicken",jamaicajerkvilla
Giordano's,730 N Rush St,Chicago,IL,60611,"Italian, Pizza, American",giordano's
Nicky's Chinese Food,5231 S Woodlawn Ave,Chicago,IL,60615,"Chinese, Asian",nicky'schinesefood
Phil's Pizza D'oro,5800 N Milwaukee Ave,Chicago,IL,60646,"Italian, Deli Food, Pizza",phil'spizzad'oro
King's Chop Suey,4739 W 63rd St,Chicago,IL,60629,Chinese,king'schopsuey
Naples Pizza,4300 S Western Ave,Chicago,IL,60609,Italian,naplespizza
Moy Lee Restaurant,5346 N Milwaukee Ave,Chicago,IL,60630,Chinese,moyleerestaurant
Papa John's Pizza,2620 N Narragansett Ave,Chicago,IL,60639,"Pizza, American",papajohn'spizza
Al's Italian Restaurant,6050 W. Cermak,Cicero,IL,60804,"Barbecue, Noodles, Italian",al'sitalianrestaurant
King's Wok,3340 W 95th St,Evergreen Park,IL,60805,Chinese,king'swok
Congress Pizzeria Restaurant & Lounge,2033 N Milwaukee Ave,Chicago,IL,60647,"Italian, Pizza",congresspizzeriarestaurant&lounge
Fat Sandwich Company,2273 N Lincoln Ave,Chicago,IL,60614,"Burgers, Sandwiches, American",fatsandwichcompany
Milano's Pizza & Specialties,10945 S Western Ave,Chicago,IL,60643,"Pizza, Pasta",milano'spizza&specialties
Cucina Biagio,7319 W Lawrence Ave,Harwood Heights,IL,60706,"Italian, Pizza, Sandwiches",cucinabiagio
El Campestre,4226 S Archer Ave,Chicago,IL,60632,Mexican,elcampestre
The Elephant Thai Cuisine,5348 W Devon Ave,Chicago,IL,60646,Thai,theelephantthaicuisine
R. J. Grunts,2056 N Lincoln Park W,Chicago,IL,60614,American,r.j.grunts
Lonnie's Pizzeria,8343 W Irving Park Rd,Chicago,IL,60634,"Deli Food, American",lonnie'spizzeria
Pizza Nova,3704 W 26th St,Chicago,IL,60623,"Barbecue, Burgers, Pizza",pizzanova
Vito Angelos Pizza Restaurant,3644 West Fullerton Avenue,Chicago,IL,60647,"Italian, Pasta",vitoangelospizzarestaurant
Nary's Pizza & Grill,4230 S Archer Ave,Chicago,IL,60632,"Pizza, Grill",nary'spizza&grill
Triano's Pizza,6758 W Archer Ave,Chicago,IL,60638,"Deli Food, American",triano'spizza
Tony's Original Cheese Steak Gyros & Wings,1400 West 95th Street,Chicago,IL,60643,Deli Food,tony'soriginalcheesesteakgyros&wings
Johnny's Snack Shop,160 N Halsted St,Chicago,IL,60661,"Diner, Hot Dogs, Sandwiches",johnny'ssnackshop
Monica's Pizza,6448 S Pulaski Rd,Chicago,IL,60629,"Deli Food, American",monica'spizza
Borinquen Restaurant II,3020 N Central Ave,Chicago,IL,60634,"Puerto Rican, Latin American",borinquenrestaurantii
Lotus Chinese Restaurant,7230 W North Ave,Elmwood Park,IL,60707,Chinese,lotuschineserestaurant
El Chisme,5955 S Pulaski Rd,Chicago,IL,60629,"Mexican, Pizza, Ribs",elchisme
Tom Lee Restaurant,4660 N Western Ave,Chicago,IL,60625,"Chinese, Noodles, Seafood",tomleerestaurant
La Scarola,721 W Grand Ave,Chicago,IL,60610,"Italian, Soups, Pasta",lascarola
Italian Fiesta Pizzeria,1400 E 47th St,Chicago,IL,60653,"Italian, Pizza, Sandwiches",italianfiestapizzeria
Coluta's Pizza,3239 N Harlem Ave,Chicago,IL,60634,"Deli Food, American",coluta'spizza
Pizza Castle,3256 W 55th St,Chicago,IL,60632,"Deli Food, Pizza, Sandwiches",pizzacastle
Harold's Chicken Shack,636 S Wabash Ave,Chicago,IL,60605,"Chicken, American",harold'schickenshack
Pho's Hot & Spicy Thai Cuisine,3332 N Lincoln Ave,Chicago,IL,60657,"Thai, Asian",pho'shot&spicythaicuisine
Wok N' Roll,1742 N Harlem Ave,Elmwood Park,IL,60707,Chinese,wokn'roll
Osteria Via Stato,603 N State St,Chicago,IL,60610,"Italian, Seafood",osteriaviastato
Bella's Pizza,2218 W Grand Ave,Chicago,IL,60612,"Pizza, American",bella'spizza
Chicago Carry Out,1760 W Chicago Ave,Chicago,IL,60622,"Greek, Diner",chicagocarryout
Villa Palermo,2154 W Devon Ave,Chicago,IL,60659,"Italian, Pizza, Sandwiches",villapalermo
Papa T's Pizza,2843 W 63rd St,Chicago,IL,60629,"Burgers, Pizza, Sandwiches",papat'spizza
Chinese Kitchen,5316 N Milwaukee Ave,Chicago,IL,60630,Chinese,chinesekitchen
Luke's Pasta Bowl & Pizzeria,215 W Jackson Blvd,Chicago,IL,60606,"Diner, American",luke'spastabowl&pizzeria
Pizza Nova,5849 S Pulaski Rd,Chicago,IL,60629,"Italian, Pizza",pizzanova
Golden Fish & Chicken # 2,2926 W 63rd St,Chicago,IL,60629,"Seafood, American",goldenfish&chicken#2
New China Tea,4024 W 55th St,Chicago,IL,60632,"Chinese, Noodles, Seafood",newchinatea
Martino's Restaurant,3431 W Peterson Ave,Chicago,IL,60659,"Italian, Pizza, Pasta",martino'srestaurant
Congress Pizzeria Restaurant & Lounge,5925 W Diversey Ave,Chicago,IL,60639,Italian,congresspizzeriarestaurant&lounge
Aroy Thai Restaurant,4656 N Damen Ave,Chicago,IL,60625,"Thai, Asian",aroythairestaurant
Chikago Pizzeria,6149 N Milwaukee Ave,Chicago,IL,60646,"Pizza, American",chikagopizzeria
Gigio's Pizza,4643 N Broadway St,Chicago,IL,60640,"Burgers, Pizza, Pasta",gigio'spizza
Nicky's Gyros,4240 S Wentworth,Chicago,IL,60609,"Greek, Breakfast",nicky'sgyros
Karyn's Conscious Comfort Food,738 N Wells St,Chicago,IL,60610,Vegetarian,karyn'sconsciouscomfortfood
Falco's Pizzeria,2806 W 40th Pl,Chicago,IL,60632,"Pizza, Sandwiches, Pasta",falco'spizzeria
Mr. Orange Chicken,12853 S Ashland,Calumet Park,IL,60827,"Chinese, Asian, Lunch Specials",mr.orangechicken
Pat's Pizzeria,628 S Clark St,Chicago,IL,60605,"Italian, Pizza, Sandwiches",pat'spizzeria
Heaven On Seven,600 N Michigan Ave,Chicago,IL,60611,"Cajun & Creole, Southern, Soul Food",heavenonseven
Pittsfield Cafe,55 E Washington St,Chicago,IL,60602,"Burgers, Sandwiches, Wraps",pittsfieldcafe
La Madia - A Contemporary Pizzeria,59 W Grand Ave,Chicago,IL,60610,"Italian, Pizza",lamadia-acontemporarypizzeria
Coco Restaurant & Lounge,2723 W Division St,Chicago,IL,60622,Caribbean,cocorestaurant&lounge
Firehouse Steak & Lemonade,100 W 87th St,Chicago,IL,60620,"Sandwiches, Wings, American",firehousesteak&lemonade
La Coco's Pizza & Pasta,3350 W 47th St,Chicago,IL,60632,"Italian, Burgers, Pizza",lacoco'spizza&pasta
Taco Joe's,3458 W 111th St,Chicago,IL,60655,Mexican,tacojoe's
Rocco Ranalli's,1925 N Lincoln Ave,Chicago,IL,60614,"Italian, Pizza, Sandwiches",roccoranalli's
Choi's Chinese Restaurant,2638 N Milwaukee Ave,Chicago,IL,60647,Chinese,choi'schineserestaurant
Pizza Hut,5020 W Cermak Rd,Cicero,IL,60804,Pizza,pizzahut
Fox's Beverly Pub,9956 S Western Ave,Chicago,IL,60643,"Deli Food, American",fox'sbeverlypub
Cheesie's Pub & Grub,958 W. Belmont Ave.,Chicago,IL,60657,"Sandwiches, Soups, American",cheesie'spub&grub
Usmania Fine Dining,2244 W Devon Ave,Chicago,IL,60659,"Chinese, Asian, Fine Dining",usmaniafinedining
China Star,4716 N Milwaukee Ave,Chicago,IL,60630,"Chinese, Noodles, Asian",chinastar
Chicken Inn,7536 North Milwaukee Avenue,Chicago,IL,60631,"Seafood, Chicken",chickeninn
"Red Snapper Fish, Chicken and Grill",2800 W Marquette Rd.,Chicago,IL,60629,"","redsnapperfish,chickenandgrill"
Sarpino's,1923 S Archer Ave,Chicago,IL,60616,"Italian, Pizza, Sandwiches",sarpino's
Sesame Inn,2941 W 95th St,Evergreen Park,IL,60805,"Chinese, Japanese, Sushi",sesameinn
The Rosebud,1500 W Taylor St,Chicago,IL,60607,Italian,therosebud
Uncle Joe's Jerk Chicken,10210 S Vincennes,Chicago,IL,60643,"Seafood, Caribbean, Wings",unclejoe'sjerkchicken
Captain Hooks Fish & Chicken,8550 S Cottage Grove Ave,Chicago,IL,60619,"Sandwiches, Seafood, Wings",captainhooksfish&chicken
Mississippi Rick,3351 South King Drive,Chicago,IL,60616,"Barbecue, Cajun & Creole",mississippirick
Margarita's Pizza,4138 W Armitage Ave,Chicago,IL,60639,"Barbecue, Italian, Pizza",margarita'spizza
Maxwell Street Station,6659 S Cicero Ave,Chicago,IL,60638,"Deli Food, American",maxwellstreetstation
T.G.I. Friday's,153 E Erie St,Chicago,IL,60611,American,t.g.i.friday's
Resto Pinoy,3536 W Lawrence Ave,Chicago,IL,60625,"Noodles, Asian, Healthy",restopinoy
JJ Fish & Chicken,7450 S King Dr,Chicago,IL,60619,"Italian, Seafood, Wings",jjfish&chicken
Kim Long Chinese Restaurant,5114 West Fullerton Avenue,Chicago,IL,60639,Chinese,kimlongchineserestaurant
El Chisme,3324 W 26th St,Chicago,IL,60623,Mexican,elchisme
Hong Kong,3904 N Cicero Ave,Chicago,IL,60641,"Chinese, Asian",hongkong
El Tarasco,4358 W 51st St,Chicago,IL,60632,Mexican,eltarasco
House Of Wings,2447 N Clark St,Chicago,IL,60614,"Deli Food, Sandwiches, Wings",houseofwings
Jimmy's Pizza Cafe,5159 N Lincoln Ave,Chicago,IL,60625,"Coffee & Tea, Pizza",jimmy'spizzacafe
Pearl's Palace,3901 South Michigan Avenue,Chicago,IL,60653,"Sandwiches, Lunch Specials",pearl'spalace
Coast Sushi Bar,2045 N Damen Ave,Chicago,IL,60647,"Japanese, Sushi",coastsushibar
House Of Wah Sun,4319 N Lincoln Ave,Chicago,IL,60618,"Chinese, Asian, Lunch Specials",houseofwahsun
Rene's Pizza,13801 S School St,Riverdale,IL,60827,"Deli Food, American",rene'spizza
Thai Bowl,1049 W Taylor St,Chicago,IL,60607,Thai,thaibowl
Chicago Pita Kitchen,13227 S Brainard Ave,Chicago,IL,60633,"Greek, Mediterranean, Middle Eastern",chicagopitakitchen
Michael's Pizzeria,4091 N Broadway St,Chicago,IL,60613,"Pizza, Sandwiches, Wings",michael'spizzeria
Pizano's Pizza,61 E Madison St,Chicago,IL,60603,"Italian, Pizza, Sandwiches",pizano'spizza
Reza's Restaurant - Ontario St,432 W Ontario St,Chicago,IL,60610,"Mediterranean, Seafood, Salads",reza'srestaurant-ontariost
Uncle Mike's Place,1700 W Grand Ave,Chicago,IL,60622,"American, Breakfast",unclemike'splace
Filippo's Ristorante & Bar,2211 N Clybourn Ave,Chicago,IL,60614,"Italian, Pasta",filippo'sristorante&bar
Pollo Express,1315 W 18th St,Chicago,IL,60608,Mexican,polloexpress
The Snail Thai Cuisine,1649 E 55th St,Chicago,IL,60615,"Thai, Asian",thesnailthaicuisine
Goodwin's,333 W Wacker Dr,Chicago,IL,60606,Sandwiches,goodwin's
Delhi Darbar Kabab House,3010 W Devon Ave,Chicago,IL,60659,"Indian, Grill",delhidarbarkababhouse
Iyanze,4623 N. Broadway,Chicago,IL,60640,African,iyanze
Takoz,2229 W Taylor St,Chicago,IL,60612,Mexican,takoz
Armand's Pizzeria,7650 W North Ave,Elmwood Park,IL,60707,"Pizza, Sandwiches, Pasta",armand'spizzeria
Caffe Rom,180 N Stetson Ave,Chicago,IL,60601,"Coffee & Tea, Sandwiches",cafferom
Janik's Cafe,2011 W Division St,Chicago,IL,60622,"Sandwiches, Salads, American",janik'scafe
Snappy's Shrimp House,1901 W Irving Park Rd,Chicago,IL,60613,Seafood,snappy'sshrimphouse
Leung's Chinese Restaurant,5713 W Irving Park Rd,Chicago,IL,60634,"Chinese, Asian",leung'schineserestaurant
Sicilia Bakery,5939 W. Lawrence,Chicago,IL,60630,"Italian, Bakery & Pastries, Pizza",siciliabakery
Athena Greek Restaurant,212 S Halsted St,Chicago,IL,60661,"Greek, Mediterranean",athenagreekrestaurant
Bourgeois Pig Cafe,738 W Fullerton Ave,Chicago,IL,60614,"Bakery & Pastries, Deli Food, Sandwiches",bourgeoispigcafe
China Delight,6618 W North Ave,Elmwood Park,IL,60707,Chinese,chinadelight
Yuki Hana,2920 N Clark St,Chicago,IL,60657,"Japanese, Sushi, Asian",yukihana
Yuki Hana,2920 N Clark St,Chicago,IL,60657,"Japanese, Sushi, Asian",yukihana
Lena's Pizza,4737 W 63rd St,Chicago,IL,60629,"Italian, Pizza, Sandwiches",lena'spizza
El Gordo Restaurant,5746 W Belmont Ave,Chicago,IL,60634,Mexican,elgordorestaurant
Marco's Beef & Pizza,6008 W Fullerton Ave,Chicago,IL,60639,"Pizza, Sandwiches, Wings",marco'sbeef&pizza
Bree Thai,5306 S Central Ave,Chicago,IL,60638,"Thai, Asian",breethai
El Guanaco Restaurant,1703 N Pulaski Rd,Chicago,IL,60639,Caribbean,elguanacorestaurant
Sorrento's Pizzeria On Harlem,2743 N Harlem Ave,Chicago,IL,60707,"Pizza, American",sorrento'spizzeriaonharlem
Silver Seafood Restaurant,4829 N Broadway St,Chicago,IL,60640,"Dim Sum, Seafood, Asian",silverseafoodrestaurant
Tecalitlan Restaurant,1814 W Chicago Ave,Chicago,IL,60622,Mexican,tecalitlanrestaurant
Hyde Park Gyros,1368 E 53rd St,Chicago,IL,60615,"Burgers, Hot Dogs, Gyros",hydeparkgyros
LuLu Belle's Pancake House,3819 Southport,Chicago,IL,60613,"Burgers, Sandwiches, Breakfast",lulubelle'spancakehouse
Sabor a Cafe,2435 W. Peterson Ave.,Chicago,IL,60659,"Seafood, Colombian, Kids Menu",saboracafe
Chicago Cheese Steak Company,7759 S Cicero Ave,Chicago,IL,60652,"Deli Food, American",chicagocheesesteakcompany
Camino Real Restaurant,4235 W 63rd St,Chicago,IL,60629,Mexican,caminorealrestaurant
Salerno's,1201 W Grand Ave,Chicago,IL,60642,"Italian, Pizza, Sandwiches",salerno's
Ms. Egg Roll #1,4513 N Sheridan Rd,Chicago,IL,60640,Chinese,ms.eggroll#1
Domino's Pizza,1234 S Canal St,Chicago,IL,60607,"Pizza, Wings, American",domino'spizza
Firehouse Grill,5646 W. Roosevelt Rd,Chicago,IL,60644,"Burgers, Sandwiches, Wings",firehousegrill
Mr. Beef & Pizza,3917 N Harlem Ave,Chicago,IL,60634,"Deli Food, Pizza, American",mr.beef&pizza
Trattoria Peppino,7440 W North Ave,Elmwood Park,IL,60707,Italian,trattoriapeppino
Cafe Central,1437 W Chicago Ave,Chicago,IL,60642,Puerto Rican,cafecentral
China House Restaurant,4901 W Diversey Ave,Chicago,IL,60639,Chinese,chinahouserestaurant
Los Caminos De Michoacan,3948 N Sheridan Rd,Chicago,IL,60613,Mexican,loscaminosdemichoacan
Honey 1 Bbq,2241 N Western Ave,Chicago,IL,60647,"Barbecue, Wings, Chicken",honey1bbq
Papa's Cache Sabroso,2517 W Division St,Chicago,IL,60622,Puerto Rican,papa'scachesabroso
Ali's BBQ,2657 W Devon Ave,Chicago,IL,60659,"Barbecue, Indian, American",ali'sbbq
Noodle Zone,5427 N Clark St,Chicago,IL,60640,"Japanese, Noodles, Thai",noodlezone
Chop Suey Loh,3825 S Archer Ave,Chicago,IL,60632,Chinese,chopsueyloh
Las Tablas Colombian Steakhouse,2942 N Lincoln Ave,Chicago,IL,60657,"Steak, Colombian, Latin American",lastablascolombiansteakhouse
Tio Luis Tacos,3856 S Archer Ave,Chicago,IL,60632,Mexican,tioluistacos
Sarpino's Pizzeria,1852 N Damen Ave,Chicago,IL,60647,Pizza,sarpino'spizzeria
Angelo's Stuffed Pizza,4850 South Pulaski Road,Chicago,IL,60632,Pizza,angelo'sstuffedpizza
Golden Thai,1509 W Taylor St,Chicago,IL,60607,"Noodles, Thai, Asian",goldenthai
El Chisme,5735 W Cermak Rd,Cicero,IL,60804,Mexican,elchisme
Geo's Pizza,2849 N Harlem Ave,Chicago,IL,60707,"Pizza, American",geo'spizza
Scoozi,410 W Huron St,Chicago,IL,60654,"Italian, Pizza",scoozi
El Chisme,4440 S Western Ave,Chicago,IL,60609,Mexican,elchisme
Triple Crown,211 W 22nd Pl,Chicago,IL,60616,"Chinese, Asian, Late Night",triplecrown
Sarpino's Pizzeria,158 W Division St,Chicago,IL,60610,"Italian, Pizza, Sandwiches",sarpino'spizzeria
Maravillas Restaurant,5506 S Lake Park Ave,Chicago,IL,60637,Mexican,maravillasrestaurant
Shrimp House,13081 S Ashland Ave,Calumet Park,IL,60827,"Sandwiches, Seafood, Wings",shrimphouse
